"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Login functionality","0","4","","0"
"0","","0","Home functionality","0","1","","0"
"0","","0","Book a space trip","0","2","","0"
"0","","0","Api functionality","0","1","","0"
