"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","User can log in with valid credentials","","2026-03-24","skipped","2026-03-24","","","",""
"","1","Login fails when username is missing","","2026-03-24","skipped","2026-03-24","","","",""
"","0","User can log in with valid credentials","","2026-03-24","skipped","2026-03-24","","","",""
"","1","Successfully book a trip to Sant Cugat Del Valles","","2026-03-24","skipped","2026-03-24","","","",""
"","1","Valencia is not available as a destination","","2026-03-24","skipped","2026-03-24","","","",""
"","0","Login fails when password is missing","","2026-03-24","skipped","2026-03-24","","","",""
"","0","User can log in with valid credentials 2","","2026-03-24","skipped","2026-03-24","","","",""
"","1","User can test also API","","2026-03-24","skipped","2026-03-24","","","",""
